id_bairro;desc_bairro
255;BAIRRO DA PONTE
256;BAIRRO DAS FURNAS
257;BAIRRO DAS GRACAS
258;BAIRRO DAS OLIVEIRAS
259;BAIRRO DE ITAVUVU
260;BAIRRO DO CAMPO
261;BAIRRO DO RECIFE
262;BAIRRO DOS AEROVIARIOS
263;BAIRRO DOS ESTADOS
264;BAIRRO DOS FRANCA
265;BAIRRO ENGENHO VELHO
266;BAIRRO EXPEDITO DE ALMEIDA NASCIMENTO
267;BAIRRO FAZENDA PEDRINHAS
268;BAIRRO FELIZ
269;BAIRRO GUARANY
270;BAIRRO GURIGICA
271;BAIRRO INDUSTRIAL NOVO TEMPO
272;BAIRRO MARIA ALVES
273;BAIRRO MORRO CHIC
274;BAIRRO NOBRE
275;BAIRRO NOVO
276;BAIRRO PARZIANELLO
277;BAIRRO SANTA GENOVEVA
278;BAIRRO SANTO ANTONIO
279;BAIRRO SAO CARLOS
280;BAIRRO SAO JOSE
281;BAIRRO SAO RAIMUNDO
282;BAIRRO SERRADINHO
283;BAIRRO SO JORGE
284;BAIRRO TAQUARAL ACIMA
285;BAIRRO VARZEA
286;BAIXA DE QUINTAS
287;BAIXADA
288;BAIXAO
289;BAIXO DA LAPA
290;BAIXOTE
291;BAIXOTES
292;BALNEARIO
293;BALNEARIO DAS CONCH
294;BALNEARIO DE ATLANTIDA
295;BALNEARIO IPANEMA
296;BALNEARIO ITAPOA
297;BALNEARIO JAPURA
298;BALNEARIO JOSEDY
299;BALNEARIO SAO JORGE
300;BANCARIOS
301;BANDEIRANTES
302;BANDIACU
303;BANEARIO DE BATEIAS
304;BANGU
305;BANHARAO
306;BARAO GERALDO
307;BARAUNA
308;BARBADO
309;BARBALHO
310;BARCELOS
311;BARNABE
312;BARNABES
313;BARONESA SAO BENEDITO
314;BARRA
315;BARRA AVENIDA
316;BARRA BONITA
317;BARRA DA TIJUCA
318;BARRA DE JANGADA
319;BARRA DO ARIRIU
320;BARRA DO CEARA
321;BARRA DO ITAPEMIRIM
322;BARRA DO RIACHO
323;BARRA DO RIO
324;BARRA DO SAI
325;BARRA FUNDA
326;BARRA GRANDE DO MATO GROSSO
327;BARRA ITAPEMIRIM
328;BARRAMARES
329;BARREIRINHA
330;BARREIRINHO
331;BARREIRO
332;BARREIRO DE BAIXO
333;BARREIRO DE CIMA
334;BARREIROS
335;BARRETO
336;BARRIS
337;BARRO AMARELO
338;BARRO PRETO
339;BARRO VERMELHO
340;BARROCA FUNDA
341;BARROCAO
342;BARROQUINHA
343;BARROSO
344;BATEIAS
345;BATEL
346;BATISTA CAMPOS
347;BATISTAS
348;BAU
349;BEBEDOURO
350;BEBELANDIA
351;BEBERIBE
352;BEIRA D AGUA
353;BEIRA MAR
354;BEIROL
355;BEL RECANTO
356;BELA ALIANCA
357;BELA AURORA
358;BELA SUICA
359;BELA VISTA
360;BELA VISTA I
361;BELA VISTA SUL
362;BELEM VELHO
363;BELENZINHO
364;BELLA VISTA
365;BELLO
366;BELO HORIZONTE
367;BELVEDERE
368;BELVEDERES
369;BEM BOM
370;BENEDITO INDAIAL
371;BENFICA
372;BEQUIMAO
373;BERNARDO MONTEIRO
374;BESSA
375;BETA
376;BETANIA
377;BETARAS
378;BETEL
379;BETHANIA
380;BICANGA
