id_municipio;desc_municipio
279;BOM JESUS DO ARAGUAIA
280;BOM JESUS DO GALHO
281;BOM JESUS DO ITABAPOANA
282;BOM JESUS DO NORTE
283;BOM JESUS DO OESTE
284;BOM JESUS DO SUL
285;BOM JESUS DOS PERDOES
286;BOM PRINCIPIO
287;BOM SUCESSO
288;BOM SUCESSO DE ITARARE
289;BOMBINHAS
290;BONFINOPOLIS
291;BOQUEIRAO
292;BOQUIM
293;BORA
294;BORBOREMA
295;BORDA DA MATA
296;BOTUCATU
297;BRACO DO NORTE
298;BRAGANCA
299;BRAGANCA PAULISTA
300;BRASILANDIA
301;BRASILEIRA
302;BRASILIA
303;BRASILIA DE MINAS
304;BRAUNA
305;BRAUNAS
306;BREJO
307;BREJO ALEGRE
308;BREJO DO CRUZ
309;BREJOES
310;BREJOLANDIA
311;BREU BRANCO
312;BREVES
313;BRITANIA
314;BROTAS
315;BRUMADINHO
316;BRUMADO
317;BRUSQUE
318;BUENO BRANDAO
319;BUENOPOLIS
320;BUENOS AIRES
321;BUIQUE
322;BUJARI
323;BURI
324;BURITAMA
325;BURITI ALEGRE
326;BURITI DOS MONTES
327;BURITICUPU
328;BURITIRAMA
329;BURITIS
330;BURITIZAL
331;BURITIZEIRO
332;CABECEIRA GRANDE
333;CABEDELO
334;CABIXI
335;CABO DE SANTO AGOSTINHO
336;CABO FRIO
337;CABREUVA
338;CABROBO
339;CACADOR
340;CACAPAVA
341;CACAPAVA DO SUL
342;CACEQUI
343;CACERES
344;CACHOEIRA DE MINAS
345;CACHOEIRA DO SUL
346;CACHOEIRA DOURADA
347;CACHOEIRA PAULISTA
348;CACHOEIRAS DE MACACU
349;CACHOEIRINHA
350;CACHOEIRO DE ITAPEMIRIM
351;CACIMBA DE AREIA
352;CACOAL
353;CACONDE
354;CACU
355;CAETANOPOLIS
356;CAETANOS
357;CAETE
358;CAETITE
359;CAFARNAUM
360;CAFELANDIA
361;CAIABU
362;CAIBI
363;CAICARA
364;CAICO
365;CAIEIRAS
366;CAJAMAR
367;CAJAZEIRAS
368;CAJOBI
369;CAJUEIRO
370;CAJURU
371;CALDAS
372;CALDAS NOVAS
373;CALIFORNIA
374;CALMON
375;CAMACAN
376;CAMACARI
377;CAMACHO
378;CAMANDUCAIA
379;CAMAQUA
380;CAMARAGIBE
381;CAMARGO
382;CAMBARA
383;CAMBE
384;CAMBORIU
385;CAMPANHA
386;CAMPESTRE
387;CAMPESTRE DA SERRA
388;CAMPINA DA LAGOA
389;CAMPINA DAS MISSOES
390;CAMPINA DO MONTE ALEGRE
391;CAMPINA DO SIMAO
392;CAMPINA GRANDE
393;CAMPINA GRANDE DO SUL
394;CAMPINAPOLIS
395;CAMPINAS
396;CAMPINORTE
397;CAMPO ALEGRE
398;CAMPO ALEGRE DE LOURDES
399;CAMPO BOM
