cd_cnpj;de_ramo_atividade_principal;cod_ramo_atividade_principal;cd_ramo_atividade;nu_ordem;de_ramo_atividade
12305448000100;AGENCIAS MATRIMONIAIS;1093701;1093701~@~4789099~@~7319003~@~8230001~@~9609202;0~@~1~@~2~@~3~@~4;AGENCIAS MATRIMONIAIS~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES~@~MARKETING DIRETO~@~SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS
14180365000150;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS;4530706;4530706~@~4542101~@~4613300;0~@~1~@~2;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS~@~REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MOTOCICLETAS E MOTONETAS, PECAS E ACESSORIOS~@~REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PECAS E ACESSORIOS NOVOS E USADOS PARA VEICULOS AUTOMOTORES
05610297000120;COMERCIO VAREJISTA DE CALCADOS;4782201;4782201;0;COMERCIO VAREJISTA DE CALCADOS
15044857000180;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;9602502;9602502;0;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
15028623000140;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;4789099~@~9329899;0~@~1;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE
07297742000170;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4520001;4520001~@~4520002~@~4520003~@~4520004~@~4530703;0~@~1~@~2~@~3~@~4;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES~@~SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES
15291845000150;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;4781400~@~4789001;0~@~1;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
15090404000190;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;1412601;1412601~@~1412603;0~@~1;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA~@~FACCAO DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS
90400888251650;BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL;6422100;6422100;0;BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL
12254288000100;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4530703;4530703~@~4530704;0~@~1;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES
04226709000160;COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS;4633801;4633801;0;COMERCIO ATACADISTA DE FRUTAS, VERDURAS, RAIZES, TUBERCULOS, HORTALICAS E LEGUMES FRESCOS
16679748000100;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;9430800~@~9491000~@~9493600~@~9499500;0~@~1~@~2~@~3;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE~@~ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS~@~ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE~@~ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
07793444000170;CONSTRUCAO DE REDES DE ABASTECIMENTO DE AGUA, COLETA DE ESGOTO E CONSTRUCOES CORRELATAS, EXCETO OBRAS DE IRRIGACAO;4222701;4222701~@~4321500;0~@~1;CONSTRUCAO DE REDES DE ABASTECIMENTO DE AGUA, COLETA DE ESGOTO E CONSTRUCOES CORRELATAS, EXCETO OBRAS DE IRRIGACAO~@~INSTALACAO E MANUTENCAO ELETRICA
03220549000180;COMERCIO VAREJISTA DE BEBIDAS;4712100;4712100~@~4723700;0~@~1;COMERCIO VAREJISTA DE BEBIDAS~@~COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
01687525000100;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;9430800~@~9493600~@~9499500;0~@~1~@~2;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE~@~ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS~@~ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE
11772974000100;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;4781400~@~4782201~@~4789001;0~@~1~@~2;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS~@~COMERCIO VAREJISTA DE CALCADOS~@~COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS
05850538000290;FOTOCOPIAS;8219901;8219901;0;FOTOCOPIAS
86396371000150;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;4789099;0;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
52792652000100;COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4530701;4530701;0;COMERCIO POR ATACADO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES
15818386000110;ATIVIDADES DE ORGANIZACOES POLITICAS;9492800;9492800;0;ATIVIDADES DE ORGANIZACOES POLITICAS
01498181000190;COMERCIO A VAREJO DE PNEUMATICOS E CAMARASDEAR;4530705;4530705;0;COMERCIO A VAREJO DE PNEUMATICOS E CAMARASDEAR
80495856000700;LABORATORIOS FOTOGRAFICOS;7420003;7420003;0;LABORATORIOS FOTOGRAFICOS
02186486000120;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;4744001;4744001;0;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
65070146000230;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;4774100;4774100;0;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA
02053352000130;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;4774100;4774100;0;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA
06319255001170;EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS;0210107;0210107~@~0210108~@~0220901~@~0220902;0~@~1~@~2~@~3;EXTRACAO DE MADEIRA EM FLORESTAS NATIVAS~@~EXTRACAO DE MADEIRA EM FLORESTAS PLANTADAS~@~PRODUCAO DE CARVAO VEGETAL  FLORESTAS NATIVAS~@~PRODUCAO DE CARVAO VEGETAL  FLORESTAS PLANTADAS
10886199000150;SERVICOS ADVOCATICIOS;6911701;6911701;0;SERVICOS ADVOCATICIOS
12019359000190;LOCACAO DE MAODEOBRA TEMPORARIA;7820500;7820500~@~8111700;0~@~1;LOCACAO DE MAODEOBRA TEMPORARIA~@~SERVICOS COMBINADOS PARA APOIO A EDIFICIOS, EXCETO CONDOMINIOS PREDIAIS
06216178000150;OBRAS DE ALVENARIA;4330499;4330499~@~4399103;0~@~1;OBRAS DE ALVENARIA~@~OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO
12459122000120;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;4321500;4321500~@~4751200~@~4751202~@~6190699~@~9511800;0~@~1~@~2~@~3~@~4;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~INSTALACAO E MANUTENCAO ELETRICA~@~OUTRAS ATIVIDADES DE TELECOMUNICACOES NAO ESPECIFICADAS ANTERIORMENTE~@~RECARGA DE CARTUCHOS PARA EQUIPAMENTOS DE INFORMATICA~@~REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
10532571000120;CULTIVO DE SERINGUEIRA;0139306;0139306;0;CULTIVO DE SERINGUEIRA
11163415000100;ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES;8630501;8630501~@~8630502~@~8630503~@~8711501;0~@~1~@~2~@~3;ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES~@~ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE PROCEDIMENTOS CIRURGICOS~@~ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS~@~CLINICAS E RESIDENCIAS GERIATRICAS
20963351002230;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;9491000;9491000;0;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
55055743000150;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;9430800;9430800~@~9493600~@~9499500;0~@~1~@~2;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE~@~ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS~@~ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE
11199599000150;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR;5911102;5911102~@~5911199~@~5913800~@~7739099~@~8299799;0~@~1~@~2~@~3~@~4;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR~@~ATIVIDADES DE PRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE~@~DISTRIBUICAO CINEMATOGRAFICA, DE VIDEO E DE PROGRAMAS DE TELEVISAO~@~OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE~@~PRODUCAO DE FILMES PARA PUBLICIDADE
09445384000120;COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS;4773300;4773300~@~4789099~@~9603304;0~@~1~@~2;COMERCIO VAREJISTA DE ARTIGOS MEDICOS E ORTOPEDICOS~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~SERVICOS DE FUNERARIAS
87301180000120;ATIVIDADES DE CONTABILIDADE;6920601;6920601;0;ATIVIDADES DE CONTABILIDADE
08739568000130;GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA;6822600;6822600;0;GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA
04500550000120;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;4712100;4712100;0;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS
12810402000130;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;4744002;4744002~@~4744099;0~@~1;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS~@~COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL
05410317000110;SERVICOS DE ENGENHARIA;7112000;7112000;0;SERVICOS DE ENGENHARIA
12223579000130;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;8211300;8211300;0;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO
96617865000170;TABACARIA;4729601;4729601;0;TABACARIA
08047579000150;CULTIVO DE MILHO;0111302;0111302~@~0115600;0~@~1;CULTIVO DE MILHO~@~CULTIVO DE SOJA
12690066000130;INSTALACAO E MANUTENCAO ELETRICA;4321500;4321500~@~4322301~@~4330404~@~4399103~@~6209100;0~@~1~@~2~@~3~@~4;INSTALACAO E MANUTENCAO ELETRICA~@~INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS~@~OBRAS DE ALVENARIA~@~SERVICOS DE PINTURA DE EDIFICIOS EM GERAL~@~SUPORTE TECNICO, MANUTENCAO E OUTROS SERVICOS EM TECNOLOGIA DA INFORMACAO
94409778000100;TABACARIA;4729601;4729601;0;TABACARIA
21081120000130;CARTORIOS;6912500;6912500;0;CARTORIOS
77687663000150;COMERCIO VAREJISTA DE MOVEIS;3101200;3101200~@~4754701~@~4930201;0~@~1~@~2;COMERCIO VAREJISTA DE MOVEIS~@~FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL
13103110000120;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;4781400;0;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
84630474000450;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS;4623109;4623109;0;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS
37224847000160;COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE, PARTES E PECAS;4649499;4649499~@~4669999~@~4689399;0~@~1~@~2;COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE, PARTES E PECAS~@~COMERCIO ATACADISTA DE OUTROS EQUIPAMENTOS E ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIARIOS NAO ESPECIFICADOS ANTERIORMENTE
11971190000100;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;9602502;9602502;0;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
07244034000170;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE;6622300;6622300;0;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE
12121605000110;CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE;0119999;0119999~@~0132600;0~@~1;CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE~@~CULTIVO DE UVA
12708033000170;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4520003;4520003~@~4530703~@~4530704;0~@~1~@~2;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES
62955505281310;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;9491000;9491000;0;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS
21614193000140;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;6399200;6399200~@~7410201~@~7490105~@~7490199~@~8299799;0~@~1~@~2~@~3~@~4;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS~@~DESIGN~@~OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE
05008116000190;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;5611203;5611203;0;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
07095151000110;EDUCACAO INFANTIL  PREESCOLA;8512100;8512100;0;EDUCACAO INFANTIL  PREESCOLA
15493137000100;CHAVEIROS;9529102;9529102;0;CHAVEIROS
09253073000160;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO;1340599;1340599;0;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO
05266699000150;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;4781400;0;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
12537293000120;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS;1412602;1412602~@~1521100;0~@~1;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS~@~FABRICACAO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL
09437544000190;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;4751200;4751200~@~9511800;0~@~1;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS
00326297000180;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS;4711301;4711301;0;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS
14644627000190;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;8211300;8211300;0;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO
13629575000110;ADMINISTRACAO DE OBRAS;4399101;4399101~@~8121400;0~@~1;ADMINISTRACAO DE OBRAS~@~LIMPEZA EM PREDIOS E EM DOMICILIOS
15581916000150;FABRICACAO DE ARTEFATOS DE TAPECARIA;1352900;1352900;0;FABRICACAO DE ARTEFATOS DE TAPECARIA
03471229000100;COMERCIO VAREJISTA DE MOVEIS;4754701;4754701;0;COMERCIO VAREJISTA DE MOVEIS
06230514000110;COMERCIO VAREJISTA DE CARNES  ACOUGUES;4722901;4722901;0;COMERCIO VAREJISTA DE CARNES  ACOUGUES
14894610000190;COMERCIO VAREJISTA DE BEBIDAS;4723700;4723700~@~5611203;0~@~1;COMERCIO VAREJISTA DE BEBIDAS~@~LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
05438357000170;COMERCIO VAREJISTA DE MOVEIS;4754701;4754701;0;COMERCIO VAREJISTA DE MOVEIS
13401477000120;CASAS LOTERICAS;4751200;4751200~@~4761003~@~4789099~@~8219999~@~8299706;0~@~1~@~2~@~3~@~4;CASAS LOTERICAS~@~COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA~@~PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE
72833999000160;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;4781400;4781400;0;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
12481765000170;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;4729602;4729602~@~4729699~@~4761001~@~4762800~@~4772500;0~@~1~@~2~@~3~@~4;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL~@~COMERCIO VAREJISTA DE DISCOS, CDS, DVDS E FITAS~@~COMERCIO VAREJISTA DE LIVROS~@~COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA~@~COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE
11771732000100;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;4763602;4763602;0;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS
10441320000130;FABRICACAO DE ESQUADRIAS DE MADEIRA E DE PECAS DE MADEIRA PARA INSTALACOES INDUSTRIAIS E COMERCIAIS;1622602;1622602;0;FABRICACAO DE ESQUADRIAS DE MADEIRA E DE PECAS DE MADEIRA PARA INSTALACOES INDUSTRIAIS E COMERCIAIS
10850466000130;ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE;3321000;3321000~@~4614100~@~7112000~@~7119799;0~@~1~@~2~@~3;ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE~@~INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS~@~REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MAQUINAS, EQUIPAMENTOS, EMBARCACOES E AERONAVES~@~SERVICOS DE ENGENHARIA
10480447000240;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;4755502;4755502~@~4781400~@~4782202;0~@~1~@~2;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO~@~COMERCIO VAREJISTA DE ARTIGOS DE VIAGEM~@~COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS
15697292000130;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;4771704;4771704~@~4789004~@~9609208;0~@~1~@~2;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO~@~COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS~@~HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS
15217444000150;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS;1066000;1066000~@~4771704;0~@~1;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS~@~FABRICACAO DE ALIMENTOS PARA ANIMAIS
15220854000150;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO;1622699;1622699~@~4321500~@~4322301~@~4399103~@~8299707;0~@~1~@~2~@~3~@~4;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO~@~INSTALACAO E MANUTENCAO ELETRICA~@~INSTALACOES HIDRAULICAS, SANITARIAS E DE GAS~@~OBRAS DE ALVENARIA~@~SALAS DE ACESSO A INTERNET
15740742000120;ATIVIDADES DE ORGANIZACOES POLITICAS;9492800;9492800;0;ATIVIDADES DE ORGANIZACOES POLITICAS
08216974000380;CULTIVO DE LARANJA;0131800;0131800;0;CULTIVO DE LARANJA
01995195000110;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;4930201;4930201;0;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL
03391792000160;TRANSPORTE ESCOLAR;4921301;4921301~@~4921302~@~4922102~@~4924800~@~4930202;0~@~1~@~2~@~3~@~4;TRANSPORTE ESCOLAR~@~TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERESTADUAL~@~TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, INTERMUNICIPAL EM REGIAO METROPOLITANA~@~TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS, COM ITINERARIO FIXO, MUNICIPAL~@~TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
08457794000390;CULTIVO DE MILHO;0111302;0111302~@~0115600;0~@~1;CULTIVO DE MILHO~@~CULTIVO DE SOJA
14222846000180;ATIVIDADES DE CONDICIONAMENTO FISICO;4763602;4763602~@~9313100;0~@~1;ATIVIDADES DE CONDICIONAMENTO FISICO~@~COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS
07669934000160;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO;4617600;4617600;0;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO
06137179000100;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;6399200;6399200~@~7410299~@~7490105~@~7490199~@~8299799;0~@~1~@~2~@~3~@~4;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS~@~ATIVIDADES DE DESIGN NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE~@~OUTRAS ATIVIDADES PROFISSIONAIS, CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE
01387360000150;CONDOMINIOS PREDIAIS;8112500;8112500;0;CONDOMINIOS PREDIAIS
09545298000190;ATIVIDADES DE ORGANIZACOES POLITICAS;9492800;9492800;0;ATIVIDADES DE ORGANIZACOES POLITICAS
